"Início dos relatórios","Término dos relatórios","Nome da campanha","Veiculação da campanha","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Configuração de atribuição",Resultados,"Indicador de resultados",Alcance,Impressões,"Custo por resultados","Valor usado (BRL)",Término
2025-09-01,2025-09-12,"[JM] 003 [SE] [CAD] [CONV] [IG] [ABO] [AUTO] [QUENTE] [PG B] - [ MKT_SES - Funil de Sessão Estratégica]",active,"Usando o orçamento do conjunto de anúncios",0,"Configurações de vários atributos",2,actions:offsite_conversion.fb_pixel_lead,3826,5081,168.215,336.43,Contínuo
2025-09-01,2025-09-12,"[JM] 005 [SE] [CAD] [CONV] [IG] [ABO] [AUTO] [FRIO] [PG B] - [ MKT_SES - Funil de Sessão Estratégica]",active,"Usando o orçamento do conjunto de anúncios",0,"Configurações de vários atributos",7,actions:offsite_conversion.fb_pixel_lead,5506,7396,79.35428571,555.48,Contínuo
2025-09-01,2025-09-12,"[JM] 008 [SE] [CAD] [CONV] [IG] [ABO] [AUTO] [QUENTE/FRIO] [PG B] - [TESTE CRIATIVO]",active,"Usando o orçamento do conjunto de anúncios",0,"Configurações de vários atributos",4,actions:offsite_conversion.fb_pixel_lead,12301,16014,141.015,564.06,Contínuo
2025-09-01,2025-09-12,"Publicação do Instagram: 💸 Seu ticket médio no...",active,15,Diário,"Clique de 7 dias ou visualização de 1 dia",916,actions:link_click,13765,18401,0.18802402,172.23,Contínuo
2025-09-01,2025-09-12,"Publicação do Instagram: 📍 ""Iluminação não vende...",active,15.1,Diário,"Clique de 7 dias ou visualização de 1 dia",831,actions:link_click,17270,18943,0.20856799,173.32,Contínuo
2025-09-01,2025-09-12,"Publicação do Instagram: ""Uma das melhores...",active,15,Diário,"Clique de 7 dias ou visualização de 1 dia",317,actions:link_click,24176,35385,0.54287066,172.09,Contínuo
2025-09-01,2025-09-12,"Post do Instagram: “Ah, Rafa, mas meu produto é...",active,6,Diário,"Clique de 7 dias ou visualização de 1 dia",133,actions:link_click,3679,4700,0.51661654,68.71,Contínuo
2025-09-01,2025-09-12,"Post do Instagram: Lojista, sabe o que acontece...",active,6,Diário,"Clique de 7 dias ou visualização de 1 dia",255,actions:link_click,3633,4967,0.27145098,69.22,Contínuo
2025-09-01,2025-09-12,"[JM] [CONV] [LEAD] [CBO] [ADV+]",inactive,50,Diário,"Clique de 7 dias ou visualização de 1 dia",32,actions:onsite_conversion.lead_grouped,10902,13990,19.15125,612.84,Contínuo
2025-09-01,2025-09-12,"[JM] 02 [CONV] [LEAD] [ABO] [ADV+] [FORM INST]",inactive,"Usando o orçamento do conjunto de anúncios",0,"Clique de 7 dias ou visualização de 1 dia",39,actions:onsite_conversion.lead_grouped,12469,17369,19.22384615,749.73,Contínuo
